type,nom_joueur,numero,poste,info_supplementaire,url_source
list_item,Volley jeunesse en club,,,Liste 3 Item 8,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Prim 'Anim,,,Liste 3 Item 9,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Service Civique,,,Liste 3 Item 10,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Snow Volley,,,Liste 3 Item 11,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Licences,,,Liste 3 Item 12,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Matériels,,,Liste 3 Item 13,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Où pratiquer ?,,,Liste 3 Item 14,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Appel à Bénévoles,,,Liste 3 Item 15,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Appels à projets Outdoor,,,Liste 3 Item 16,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Le Volley sur prescription médicale,,,Liste 3 Item 17,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,JOUEURS,,,Liste 4 Item 1,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Projet de Performance Fédéral,,,Liste 4 Item 2,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,CFCP - Centres de Formation,,,Liste 4 Item 3,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Les Pôles,,,Liste 4 Item 4,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Le double projet,,,Liste 4 Item 5,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,ENTRAÎNEURS,,,Liste 4 Item 6,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,CERTIFICAT QUALIOPI,,,Liste 4 Item 7,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,CATALOGUE ET INSCRIPTIONS 2025,,,Liste 4 Item 8,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Choix de ma formation,,,Liste 4 Item 9,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Tarifs des formations,,,Liste 4 Item 10,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,CATALOGUE ET INSCRIPTIONS REGIONALES,,,Liste 4 Item 11,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,ARCHITECTURE DES FORMATIONS,,,Liste 4 Item 12,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formations régionales,,,Liste 4 Item 13,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formations nationales,,,Liste 4 Item 14,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formations experts,,,Liste 4 Item 15,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Cursus spécifiques,,,Liste 4 Item 16,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,FORMATION CONTINUE,,,Liste 4 Item 17,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formation Continue Amateur (FCA),,,Liste 4 Item 18,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formation Continue Professionnelle (FCP),,,Liste 4 Item 19,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,DIPLÔMES D'ÉTAT,,,Liste 4 Item 20,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Suivi des cohortes,,,Liste 4 Item 21,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,FINANCER SA FORMATION,,,Liste 4 Item 22,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,VALIDATION DES ACQUIS,,,Liste 4 Item 23,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,EQUIVALENCES,,,Liste 4 Item 24,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,STATISTIQUES,,,Liste 4 Item 25,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,RÉGLEMENTATION,,,Liste 4 Item 26,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Politique de protection des données personnelles,,,Liste 4 Item 27,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Reglement intérieur,,,Liste 4 Item 28,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Charte d'accueil des PSH en formation,,,Liste 4 Item 29,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,ARBITRES,,,Liste 4 Item 30,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,MY COACH BY FFVOLLEY,,,Liste 4 Item 31,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,DIRIGEANTS,,,Liste 4 Item 32,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Masterclass,,,Liste 4 Item 33,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Accompagner les dirigeants,,,Liste 4 Item 34,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,RECLAMATION ET SAISINE INFORMATIQUE FORMATION,,,Liste 4 Item 35,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Projet de Performance Fédéral,,,Liste 5 Item 1,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,CFCP - Centres de Formation,,,Liste 5 Item 2,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Les Pôles,,,Liste 5 Item 3,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Le double projet,,,Liste 5 Item 4,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,CERTIFICAT QUALIOPI,,,Liste 6 Item 1,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,CATALOGUE ET INSCRIPTIONS 2025,,,Liste 6 Item 2,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Choix de ma formation,,,Liste 6 Item 3,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Tarifs des formations,,,Liste 6 Item 4,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,CATALOGUE ET INSCRIPTIONS REGIONALES,,,Liste 6 Item 5,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,ARCHITECTURE DES FORMATIONS,,,Liste 6 Item 6,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formations régionales,,,Liste 6 Item 7,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formations nationales,,,Liste 6 Item 8,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formations experts,,,Liste 6 Item 9,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Cursus spécifiques,,,Liste 6 Item 10,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,FORMATION CONTINUE,,,Liste 6 Item 11,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formation Continue Amateur (FCA),,,Liste 6 Item 12,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Formation Continue Professionnelle (FCP),,,Liste 6 Item 13,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,DIPLÔMES D'ÉTAT,,,Liste 6 Item 14,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
list_item,Suivi des cohortes,,,Liste 6 Item 15,http://www.ffvb.org/index.php?lvlid=384&dsgtypid=37&artid=1217&pos=0
